DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP
3,10XX WOODLAWN AV,39.1103165884489,-84.5665220370662,EAST PRICE HILL,2387,139025733,2,"CINC, OH 45205",BLACK,FEMALE,14,NONFATAL,09/22/2013 12:00:00 AM,SEP,201200,20,SUN,139025733,09/22/2013 08:12:00 PM,DISTRICT 3,45205
1,2XX E CLIFTON AV,39.1153634641565,-84.5133270306981,OVER-THE-RHINE,1670,11104913,1,"COVINGTON, KY 41016",WHITE,MALE,36,NONFATAL,12/11/2011 12:00:00 AM,DEC,234000,23,SUN,11104913,12/11/2011 11:40:00 PM,DISTRICT 1,45202
3,16XX WAVERLY AV,39.1278527769365,-84.5512707458525,SOUTH FAIRMOUNT,3494,169013505,1,"CINCINNATI, OH 45231",BLACK,MALE,20,FATAL,06/06/2016 12:00:00 AM,JUN,022900,2,MON,169013505,06/06/2016 02:29:00 AM,DISTRICT 3,
3,24XX HARRISON AV,39.141410785794,-84.5810412902738,WESTWOOD,3034,159013352,1,"CINTI, OH 45211",BLACK,MALE,21,NONFATAL,05/26/2015 12:00:00 AM,MAY,223000,22,TUE,159013352,05/26/2015 10:30:00 PM,DISTRICT 3,45211
4,7XX LINCOLN AV,39.1326101441491,-84.4916742656329,WALNUT HILLS,3349,169000820,1,"CINCINNATI, OH 45237",BLACK,FEMALE,54,NONFATAL,01/10/2016 12:00:00 AM,JAN,114000,11,SUN,169000820,01/10/2016 11:40:00 AM,DISTRICT 4,
3,23XX IROLL AV,39.1507917326258,-84.5632022676233,EAST WESTWOOD,2821,149029427,1,"CINC, OH 45205",BLACK,MALE,40,NONFATAL,11/18/2014 12:00:00 AM,NOV,001500,0,TUE,149029427,11/18/2014 12:15:00 AM,DISTRICT 3,45225
4,12XX CHAPEL ST,39.1307100251208,-84.4834437787367,WALNUT HILLS,2793,149026564,3,"CINC, OH 45206",BLACK,MALE,16,NONFATAL,10/18/2014 12:00:00 AM,OCT,133500,13,SAT,149026564,10/18/2014 01:35:00 PM,DISTRICT 4,45206
5,13XX KNOWLTON ST,39.1623329237274,-84.5339537205833,NORTHSIDE,3623,169022075,1,,BLACK,MALE,36,FATAL,08/28/2016 12:00:00 AM,AUG,010100,1,SUN,169022075,08/28/2016 01:01:00 AM,DISTRICT 5,
3,19XX QUEBEC RD,39.1207306049905,-84.5718928475079,WEST PRICE HILL,3670,169025272,3,,WHITE,MALE,19,NONFATAL,09/27/2016 12:00:00 AM,SEP,214000,21,TUE,169025272,09/27/2016 09:40:00 PM,DISTRICT 3,
4,36XX IRVING ST,39.1490780461539,-84.5080710881598,AVONDALE,242,40805613,1,,BLACK,MALE,29,FATAL,08/02/2008 12:00:00 AM,AUG,,N/A,SAT,40805613,08/02/2008 12:00:00 AM,DISTRICT 4,45220
